
# number of atoms and geometry (in a.u.)
    3
    O       0.000000000000       0.000000000000      -0.736439502472
    H      -1.445931510274       0.000000000000       0.368218806373
    H       1.445931510274       0.000000000000       0.368218806373

# number of quasi-relativistic states and their energies (in a.u.)
   12
    1     -75.721977214741
    2     -75.721977214741
    3     -75.636882249981
    4     -75.636882249981
    5     -75.457675023492
    6     -75.457675023492
    7     -75.190315358669
    8     -75.190315358668
    9     -75.181295094134
   10     -75.181295094134
   11     -75.125026321385
   12     -75.125026321385

# magnetic moment matrix elements '1/2 * (g_e * S + L)' (in a.u.; x,y,z order; (real,imag) format)
    7    9     (  4.873175876872e-05 , -6.455736938392e-02 ) (  2.073449394438e-01 , -1.587006907322e-04 ) (  3.438573305221e-02 , -9.510639960670e-02 )
    7   10     ( -1.016263643668e-02 , -2.920739398114e-02 ) (  1.008382437796e-01 , -3.438967640834e-02 ) (  7.657695865429e-04 ,  2.100054668506e-01 )
    7   11     ( -2.323724004061e-03 , -1.085388225679e-02 ) (  2.860922658854e-05 , -6.857250422075e-06 ) ( -5.297462290802e-09 ,  2.180196093541e-03 )
    7   12     ( -1.794860281290e-06 ,  7.496439539215e-01 ) (  2.214079032981e-03 , -5.301672960305e-09 ) (  6.752455203260e-06 ,  3.156645067901e-05 )
    8    1     ( -8.434048573645e-14 , -3.373131111535e-02 ) ( -2.870977517305e-03 , -1.143353822251e-14 ) ( -9.136935545510e-06 ,  4.039997671283e-05 )
    8    2     (  1.045144802158e-04 , -4.621224064139e-04 ) (  3.933267683654e-05 ,  8.895554312985e-06 ) ( -3.431437936229e-14 , -2.948881605837e-03 )
    8    3     (  1.007683859829e-02 , -2.948438022432e-14 ) ( -3.205250690914e-14 , -2.335248099304e-04 ) ( -3.003402724777e-06 , -6.792556119033e-07 )
    8    4     (  1.380537076629e-04 ,  3.122248964940e-05 ) ( -7.235628448834e-07 ,  3.199315908216e-06 ) (  2.192249622496e-04 , -4.799036280840e-15 )
    8    5     (  4.725161414360e-04 , -1.902778427393e-14 ) ( -3.200595384994e-14 ,  1.566947150851e-02 ) ( -2.245375955525e-05 , -5.078185670650e-06 )
    8    6     ( -6.473518830745e-06 , -1.464063398764e-06 ) ( -4.855093345134e-05 ,  2.146733425118e-04 ) ( -1.638948453698e-03 , -7.410854280442e-14 )
    8    7     (  5.345217076524e-01 , -4.538785924380e-05 ) ( -3.759934613178e-05 ,  4.429560402594e-01 ) (  1.213545868341e-02 ,  2.744578517364e-03 )
    8    8     (  1.464861161923e-02 , -2.168404344971e-19 ) (  2.744457566298e-03 , -4.085804338927e-19 ) ( -4.428093047704e-01 ,  3.388131789017e-21 )
    8    9     ( -1.016263643655e-02 ,  2.920739398171e-02 ) (  1.008382437797e-01 ,  3.438967640843e-02 ) (  7.657695864141e-04 , -2.100054668520e-01 )
    8   10     ( -4.873175913239e-05 , -6.455736938525e-02 ) ( -2.073449394438e-01 , -1.587006905462e-04 ) ( -3.438573305244e-02 , -9.510639960723e-02 )
    8   11     (  1.794860327881e-06 ,  7.496439539214e-01 ) ( -2.214079032965e-03 , -5.301690409145e-09 ) ( -6.752455208813e-06 ,  3.156645067257e-05 )
    8   12     ( -2.323724004025e-03 ,  1.085388225711e-02 ) (  2.860922658480e-05 ,  6.857250422119e-06 ) ( -5.297442608088e-09 , -2.180196093677e-03 )
    9    1     ( -6.548288524069e-03 ,  1.338816034679e-12 ) (  1.130412284050e-12 ,  5.872188502876e-04 ) ( -5.553470658738e-05 ,  1.912570031382e-05 )
    9    2     (  3.072854176132e-03 , -1.058265941267e-03 ) (  9.490017178032e-05 ,  2.755586957793e-04 ) ( -1.183451142327e-04 ,  2.646704813802e-14 )
    9    3     (  4.580789093588e-13 ,  4.255353548207e-02 ) (  1.725608259062e-03 ,  1.092776884448e-13 ) (  2.039360239220e-04 ,  5.921627503679e-04 )
    9    4     ( -6.877057587320e-03 , -1.996870007584e-02 ) (  8.097600681732e-04 , -2.788747688779e-04 ) ( -9.177849441200e-13 ,  1.261905793486e-03 )
    9    5     ( -1.112603182371e-13 ,  5.554936976294e-04 ) (  5.256577028092e-03 ,  1.448888146965e-14 ) (  1.812738720083e-03 ,  5.263593529754e-03 )
    9    6     (  8.977308476646e-05 ,  2.606713386987e-04 ) ( -2.466704797590e-03 ,  8.495130318309e-04 ) ( -9.308121894347e-14 , -1.121677991858e-02 )
    9    7     (  4.873175876872e-05 ,  6.455736938392e-02 ) (  2.073449394438e-01 ,  1.587006907322e-04 ) (  3.438573305221e-02 ,  9.510639960670e-02 )
    9    8     ( -1.016263643655e-02 , -2.920739398171e-02 ) (  1.008382437797e-01 , -3.438967640843e-02 ) (  7.657695864141e-04 ,  2.100054668520e-01 )
    9    9     ( -3.486511653616e-01 , -1.387778780781e-17 ) ( -1.148815673623e-01 ,  2.703353697549e-17 ) (  2.678675174304e-01 ,  0.000000000000e+00 )
    9   10     (  2.993881767551e-01 ,  5.634535685346e-02 ) ( -5.390939994214e-02 , -4.244139484811e-01 ) (  3.335639082095e-01 , -1.148766918625e-01 )
    9   11     (  1.657100656441e-01 , -2.094058523859e-05 ) ( -6.256329104760e-08 ,  4.947265469410e-04 ) ( -2.574705772379e-04 ,  8.881739873145e-05 )
    9   12     ( -7.760388317442e-02 ,  2.677076962538e-02 ) (  7.998109202437e-05 ,  2.326257537716e-04 ) ( -5.497854369611e-04 ,  6.880768795262e-08 )
   10    1     ( -3.072854176068e-03 , -1.058265941271e-03 ) ( -9.490017178086e-05 ,  2.755586957563e-04 ) (  1.183451141803e-04 , -2.767666604052e-14 )
   10    2     ( -6.548288524054e-03 , -1.344616828251e-12 ) (  1.124457666591e-12 , -5.872188503085e-04 ) ( -5.553470656269e-05 , -1.912570029512e-05 )
   10    3     ( -6.877057587322e-03 ,  1.996870007587e-02 ) (  8.097600681801e-04 ,  2.788747689006e-04 ) ( -9.078929839438e-13 , -1.261905793526e-03 )
   10    4     ( -4.624383594997e-13 ,  4.255353548201e-02 ) ( -1.725608259114e-03 ,  4.605869633457e-14 ) ( -2.039360239196e-04 ,  5.921627503440e-04 )
   10    5     ( -8.977308480981e-05 ,  2.606713387602e-04 ) (  2.466704797557e-03 ,  8.495130318732e-04 ) (  4.416001515548e-14 , -1.121677991858e-02 )
   10    6     ( -9.143321622661e-15 , -5.554936976635e-04 ) (  5.256577028056e-03 ,  7.124204176679e-14 ) (  1.812738720060e-03 , -5.263593529660e-03 )
   10    7     ( -1.016263643668e-02 ,  2.920739398114e-02 ) (  1.008382437796e-01 ,  3.438967640834e-02 ) (  7.657695865429e-04 , -2.100054668506e-01 )
   10    8     ( -4.873175913238e-05 ,  6.455736938525e-02 ) ( -2.073449394438e-01 ,  1.587006905462e-04 ) ( -3.438573305244e-02 ,  9.510639960723e-02 )
   10    9     (  2.993881767551e-01 , -5.634535685346e-02 ) ( -5.390939994214e-02 ,  4.244139484811e-01 ) (  3.335639082095e-01 ,  1.148766918625e-01 )
   10   10     (  3.486511653614e-01 ,  0.000000000000e+00 ) (  1.148815673622e-01 ,  1.873436820500e-17 ) ( -2.678675174308e-01 ,  6.938893903907e-18 )
