
# number of atoms and geometry (in a.u.)
    3
    O       0.000000000000       0.000000000000      -0.736439502472
    H      -1.445931510274       0.000000000000       0.368218806373
    H       1.445931510274       0.000000000000       0.368218806373

# number of quasi-relativistic states and their energies (in a.u.)
   12
    1     -75.721977214741
    2     -75.721977214741
    3     -75.636882249981
    4     -75.636882249981
    5     -75.457675023492
    6     -75.457675023492
    7     -75.190315358669
    8     -75.190315358668
    9     -75.181295094134
   10     -75.181295094134
   11     -75.125026321385
   12     -75.125026321385

# magnetic moment matrix elements '1/2 * (g_e * S + L)' (in a.u.; x,y,z order; (real,imag) format)
    4    8     ( -5.049420199880e-02 , -1.016914119995e-01 ) (  1.049852521976e-01 ,  1.144361892562e+00 ) ( -3.389484627583e+01 ,  1.549635915227e-03 )
    4    9     (  1.522349299502e+00 , -4.741145234359e+00 ) (  2.621144814206e+00 ,  8.840766660413e-01 ) ( -5.183569842326e-02 , -5.310056621272e+00 )
    4   10     ( -5.183569838951e-02 ,  9.269408116650e+00 ) ( -5.445071283307e+00 , -8.739627333075e-03 ) ( -8.824802983951e-01 , -2.883177344897e+00 )
    4   11     (  1.187856233021e-07 , -3.820950756876e+00 ) ( -4.223461424807e+00 ,  1.016290784663e-07 ) (  5.469416196833e-06 , -8.836278687885e-02 )
    4   12     (  4.951370215066e-06 , -9.462156732031e-02 ) (  7.512157486121e-02 , -5.475224536469e-06 ) (  1.187851375869e-07 , -4.218990160851e+00 )
    5    1     (  1.737685469649e-10 , -6.082195555608e+00 ) (  6.035938783893e+00 ,  1.383866299796e-10 ) ( -1.844762503496e-09 , -3.268544263216e+00 )
    5    2     (  1.736600258024e-09 , -2.715529772851e+00 ) (  2.771353210756e+00 ,  1.853047148368e-09 ) (  1.514888026490e-10 ,  6.082195555001e+00 )
    5    3     (  1.621141968638e+02 , -7.499594471503e-12 ) ( -7.539831010295e-11 ,  1.621796486685e+02 ) ( -5.047319842932e+00 , -1.521528278873e-09 )
    5    4     ( -5.029845483833e+00 , -1.661573361812e-09 ) ( -1.524356675383e-09 , -3.498935643416e+00 ) ( -1.621141968638e+02 ,  9.180679740293e-11 )
    5    5     ( -4.536735999103e+00 , -4.135903062765e-25 ) ( -5.819056702665e-09 ,  3.228294520706e-16 ) ( -2.961747738323e+02 , -6.462348535571e-27 )
    5    6     (  2.961803174812e+02 , -7.652349527376e-11 ) ( -1.272152436653e-11 ,  2.962016345268e+02 ) ( -4.536735999099e+00 , -5.823762176401e-09 )
    5    7     (  4.090871220034e+01 ,  4.491343589683e-04 ) (  2.247268742407e-03 ,  4.089427129564e+01 ) (  1.639795446495e-01 ,  1.267470784069e-01 )
    5    8     (  4.154713414747e-01 , -1.267470791921e-01 ) (  1.267392750923e-01 ,  1.285681928049e+00 ) ( -4.091215766338e+01 ,  1.228366818412e-03 )
    5    9     (  1.493159990802e+00 , -5.243250448613e+00 ) (  5.051332455067e+00 ,  1.494007414228e+00 ) (  4.613783576240e-03 , -9.252702493658e+00 )
    5   10     ( -1.466780887668e-01 ,  8.813400948359e+00 ) ( -8.909858841067e+00 , -1.152646463284e-01 ) ( -1.493159990653e+00 , -4.307093672333e+00 )
    5   11     ( -1.205449131549e-06 ,  4.568672470014e-01 ) ( -4.592420115680e-01 , -1.212562074862e-06 ) (  5.933847491229e-07 , -1.245793878391e+00 )
    5   12     ( -5.933750436272e-07 ,  9.304062195948e-01 ) ( -9.358720312496e-01 , -5.964675862334e-07 ) (  1.615180905097e-06 , -4.585613338574e-01 )
    6    1     (  1.731664005386e-09 ,  2.715529772848e+00 ) (  2.771353210753e+00 , -1.848297341110e-09 ) (  1.499853269741e-10 , -6.082195555003e+00 )
    6    2     ( -1.752493353769e-10 , -6.082195555607e+00 ) ( -6.035938783899e+00 ,  1.399509392764e-10 ) (  1.862472178938e-09 , -3.268544263219e+00 )
    6    3     (  5.029845483847e+00 , -1.668106109222e-09 ) (  1.524411825054e-09 , -3.498935643429e+00 ) (  1.621141968638e+02 ,  9.096030768097e-11 )
    6    4     (  1.621141968638e+02 ,  6.652295853982e-12 ) ( -7.643853399144e-11 , -1.621796486685e+02 ) ( -5.047319842919e+00 ,  1.527530562814e-09 )
    6    5     (  2.961803174812e+02 ,  7.652349527376e-11 ) ( -1.272152436653e-11 , -2.962016345268e+02 ) ( -4.536735999099e+00 ,  5.823762176401e-09 )
    6    6     (  4.536735999095e+00 ,  0.000000000000e+00 ) (  5.829291063294e-09 ,  7.778397465314e-16 ) (  2.961747738323e+02 ,  6.462348535571e-27 )
    6    7     ( -4.154713414748e-01 , -1.267470792232e-01 ) ( -1.267392750971e-01 ,  1.285681928076e+00 ) (  4.091215766338e+01 ,  1.228366818646e-03 )
    6    8     (  4.090871220033e+01 , -4.491343586919e-04 ) (  2.247268742875e-03 , -4.089427129563e+01 ) (  1.639795446217e-01 , -1.267470783775e-01 )
    6    9     (  1.466780887567e-01 ,  8.813400948447e+00 ) (  8.909858841161e+00 , -1.152646463208e-01 ) (  1.493159990611e+00 , -4.307093672350e+00 )
    6   10     (  1.493159990839e+00 ,  5.243250448601e+00 ) (  5.051332455053e+00 , -1.494007414260e+00 ) (  4.613783562790e-03 ,  9.252702493569e+00 )
    6   11     ( -5.933782107059e-07 , -9.304062195781e-01 ) ( -9.358720312328e-01 ,  5.964708116836e-07 ) (  1.615179964689e-06 ,  4.585613338552e-01 )
    6   12     (  1.205448207263e-06 ,  4.568672470036e-01 ) (  4.592420115826e-01 , -1.212561101177e-06 ) ( -5.933872339376e-07 , -1.245793878374e+00 )
    7    1     (  4.263209686292e-02 ,  6.089401597423e-01 ) (  5.800164556712e-01 , -3.761207248904e-02 ) (  1.302701021577e-03 ,  1.214814490597e+01 )
    7    2     (  1.302701128524e-03 , -1.375344887992e+01 ) (  1.213336409039e+01 ,  1.281857625740e-03 ) (  3.762246125669e-02 , -2.540856798916e-01 )
    7    3     (  5.049420200089e-02 ,  1.016914120089e-01 ) ( -1.049852522079e-01 , -1.144361892572e+00 ) (  3.389484627583e+01 , -1.549635918646e-03 )
    7    4     (  3.282703829092e+01 , -1.549635935180e-03 ) (  2.107429261835e-03 , -3.387393190935e+01 ) ( -3.586512464098e-02 , -1.049999519758e-01 )
    7    5     (  4.090871220034e+01 , -4.491343589683e-04 ) (  2.247268742407e-03 , -4.089427129564e+01 ) (  1.639795446495e-01 , -1.267470784069e-01 )
    7    6     ( -4.154713414748e-01 ,  1.267470792232e-01 ) ( -1.267392750971e-01 , -1.285681928076e+00 ) (  4.091215766338e+01 , -1.228366818646e-03 )
    7    7     ( -4.433579804898e+00 ,  1.110223024625e-16 ) ( -1.003583620897e+00 , -1.448069685936e-17 ) (  1.619163913772e+02 ,  0.000000000000e+00 )
    7    8     (  1.601213668333e+02 ,  1.387793011288e-02 ) ( -1.374919700388e-02 , -1.619786118820e+02 ) (  4.482858690402e+00 , -1.003578633983e+00 )
    7    9     ( -2.265042051146e-02 ,  3.918368715533e+01 ) (  3.217816559925e+01 , -3.295589724312e-02 ) (  5.341277174874e+00 , -1.481562012896e+01 )
    7   10     (  6.171482638445e+00 ,  1.777878149285e+01 ) (  1.571364413025e+01 , -5.340990293785e+00 ) (  1.122683528163e-01 ,  3.260161484360e+01 )
    7   11     ( -5.353263415766e-02 , -2.288498363807e-01 ) ( -1.897848930445e-01 ,  5.069133207676e-02 ) (  1.054692062628e-04 , -1.636648012407e+01 )
    7   12     (  2.429727049490e-05 ,  1.727016217921e+01 ) ( -1.636758902411e+01 ,  1.064671896855e-04 ) ( -5.069079998867e-02 , -2.581655684389e-01 )
    8    1     ( -1.302701124062e-03 , -1.375344887998e+01 ) ( -1.213336409047e+01 ,  1.281857622074e-03 ) ( -3.762246126833e-02 , -2.540856799874e-01 )
    8    2     (  4.263209686815e-02 , -6.089401596458e-01 ) (  5.800164555751e-01 ,  3.761207249493e-02 ) (  1.302701024829e-03 , -1.214814490604e+01 )
    8    3     (  3.282703829091e+01 ,  1.549635931036e-03 ) (  2.107429264737e-03 ,  3.387393190934e+01 ) ( -3.586512465060e-02 ,  1.049999519671e-01 )
    8    4     ( -5.049420199880e-02 ,  1.016914119995e-01 ) (  1.049852521976e-01 , -1.144361892562e+00 ) ( -3.389484627583e+01 , -1.549635915227e-03 )
    8    5     (  4.154713414747e-01 ,  1.267470791921e-01 ) (  1.267392750923e-01 , -1.285681928049e+00 ) ( -4.091215766338e+01 , -1.228366818412e-03 )
    8    6     (  4.090871220033e+01 ,  4.491343586919e-04 ) (  2.247268742875e-03 ,  4.089427129563e+01 ) (  1.639795446217e-01 ,  1.267470783775e-01 )
    8    7     (  1.601213668333e+02 , -1.387793011288e-02 ) ( -1.374919700388e-02 ,  1.619786118820e+02 ) (  4.482858690402e+00 ,  1.003578633983e+00 )
    8    8     (  4.433579805038e+00 ,  1.110223024625e-16 ) (  1.003583620883e+00 ,  9.964358816661e-17 ) ( -1.619163913773e+02 ,  1.734723475977e-18 )
    8    9     (  6.171482638425e+00 , -1.777878149302e+01 ) (  1.571364413043e+01 ,  5.340990293753e+00 ) (  1.122683528288e-01 , -3.260161484394e+01 )
    8   10     (  2.265042050304e-02 ,  3.918368715501e+01 ) ( -3.217816559886e+01 , -3.295589726144e-02 ) ( -5.341277174887e+00 , -1.481562012877e+01 )
    8   11     ( -2.429728310950e-05 ,  1.727016217927e+01 ) (  1.636758902421e+01 ,  1.064671963374e-04 ) (  5.069079999593e-02 , -2.581655683255e-01 )
    8   12     ( -5.353263416487e-02 ,  2.288498362676e-01 ) ( -1.897848929303e-01 , -5.069133208361e-02 ) (  1.054691996080e-04 ,  1.636648012413e+01 )
    9    1     (  4.787126750191e+01 ,  1.409685717308e-02 ) (  1.636044073519e-02 , -4.822791994527e+01 ) (  2.256980577593e+01 , -7.802897798411e+00 )
    9    2     ( -2.257053845676e+01 ,  7.743068954188e+00 ) ( -7.801769597063e+00 , -2.275499220006e+01 ) (  4.832333894223e+01 , -1.409687388703e-02 )
    9    3     (  5.183569838532e-02 , -9.269408116722e+00 ) (  5.445071283381e+00 ,  8.739627323788e-03 ) (  8.824802983756e-01 ,  2.883177344913e+00 )
    9    4     (  1.522349299502e+00 ,  4.741145234359e+00 ) (  2.621144814206e+00 , -8.840766660413e-01 ) ( -5.183569842326e-02 ,  5.310056621272e+00 )
    9    5     (  1.493159990802e+00 ,  5.243250448613e+00 ) (  5.051332455067e+00 , -1.494007414228e+00 ) (  4.613783576240e-03 ,  9.252702493658e+00 )
    9    6     (  1.466780887567e-01 , -8.813400948447e+00 ) (  8.909858841161e+00 ,  1.152646463208e-01 ) (  1.493159990611e+00 ,  4.307093672350e+00 )
    9    7     ( -2.265042051146e-02 , -3.918368715533e+01 ) (  3.217816559925e+01 ,  3.295589724312e-02 ) (  5.341277174874e+00 ,  1.481562012896e+01 )
    9    8     (  6.171482638425e+00 ,  1.777878149302e+01 ) (  1.571364413043e+01 , -5.340990293753e+00 ) (  1.122683528288e-01 ,  3.260161484394e+01 )
    9    9     (  3.613395104587e+00 ,  4.440892098501e-16 ) (  6.360123685225e+00 ,  3.590524556171e-16 ) ( -1.480978129483e+01 ,  5.551115123126e-17 )
    9   10     ( -3.136714142250e+00 , -5.796560569489e-01 ) (  2.984555828446e+00 ,  2.349659103654e+01 ) ( -1.848416983675e+01 ,  6.356627536894e+00 )
    9   11     ( -6.117951332876e+01 ,  8.599773120349e-03 ) ( -7.058654033176e-03 ,  6.133458561359e+01 ) ( -2.874891550803e+01 ,  9.915409941056e+00 )
    9   12     (  2.864449437007e+01 , -9.883256681158e+00 ) (  9.915467825451e+00 ,  2.883491545710e+01 ) ( -6.137450491090e+01 ,  6.812580228988e-03 )
   10    1     (  2.257053845676e+01 ,  7.743068954209e+00 ) (  7.801769597085e+00 , -2.275499220005e+01 ) ( -4.832333894222e+01 , -1.409687393937e-02 )
   10    2     (  4.787126750190e+01 , -1.409685712066e-02 ) (  1.636044068303e-02 ,  4.822791994526e+01 ) (  2.256980577593e+01 ,  7.802897798435e+00 )
   10    3     (  1.522349299524e+00 , -4.741145234343e+00 ) (  2.621144814193e+00 ,  8.840766660616e-01 ) ( -5.183569843344e-02 , -5.310056621199e+00 )
   10    4     ( -5.183569838951e-02 , -9.269408116650e+00 ) ( -5.445071283307e+00 ,  8.739627333075e-03 ) ( -8.824802983951e-01 ,  2.883177344897e+00 )
   10    5     ( -1.466780887668e-01 , -8.813400948359e+00 ) ( -8.909858841067e+00 ,  1.152646463284e-01 ) ( -1.493159990653e+00 ,  4.307093672333e+00 )
   10    6     (  1.493159990839e+00 , -5.243250448601e+00 ) (  5.051332455053e+00 ,  1.494007414260e+00 ) (  4.613783562790e-03 , -9.252702493569e+00 )
   10    7     (  6.171482638445e+00 , -1.777878149285e+01 ) (  1.571364413025e+01 ,  5.340990293785e+00 ) (  1.122683528163e-01 , -3.260161484360e+01 )
   10    8     (  2.265042050304e-02 , -3.918368715501e+01 ) ( -3.217816559886e+01 ,  3.295589726144e-02 ) ( -5.341277174887e+00 ,  1.481562012877e+01 )
   10    9     ( -3.136714142250e+00 ,  5.796560569489e-01 ) (  2.984555828446e+00 , -2.349659103654e+01 ) ( -1.848416983675e+01 , -6.356627536894e+00 )
   10   10     ( -3.613395104723e+00 ,  0.000000000000e+00 ) ( -6.360123685206e+00 , -8.279978529995e-16 ) (  1.480978129473e+01 ,  1.110223024625e-16 )
   10   11     ( -2.864449437007e+01 , -9.883256681197e+00 ) ( -9.915467825490e+00 ,  2.883491545709e+01 ) (  6.137450491088e+01 ,  6.812580317382e-03 )
   10   12     ( -6.117951332874e+01 , -8.599773207609e-03 ) ( -7.058653945148e-03 , -6.133458561358e+01 ) ( -2.874891550803e+01 , -9.915409941096e+00 )
   11    1     (  7.881531010509e-02 ,  1.287218219961e-04 ) (  1.287177960921e-04 , -8.515980287789e-02 ) (  9.930155297133e+01 ,  1.953291622786e-09 )
   11    2     ( -9.931746371779e+01 ,  1.951174479066e-09 ) ( -1.017698104713e-08 , -9.930471294910e+01 ) (  7.580204806223e-02 ,  1.287136907542e-04 )
   11    3     (  4.951370056064e-06 , -9.462156731611e-02 ) (  7.512157485713e-02 , -5.475224780281e-06 ) (  1.187858463850e-07 , -4.218990160838e+00 )
   11    4     (  1.187856233021e-07 ,  3.820950756876e+00 ) ( -4.223461424807e+00 , -1.016290784663e-07 ) (  5.469416196833e-06 ,  8.836278687885e-02 )
   11    5     ( -1.205449131549e-06 , -4.568672470014e-01 ) ( -4.592420115680e-01 ,  1.212562074862e-06 ) (  5.933847491229e-07 ,  1.245793878391e+00 )
   11    6     ( -5.933782107059e-07 ,  9.304062195781e-01 ) ( -9.358720312328e-01 , -5.964708116836e-07 ) (  1.615179964689e-06 , -4.585613338552e-01 )
   11    7     ( -5.353263415766e-02 ,  2.288498363807e-01 ) ( -1.897848930445e-01 , -5.069133207676e-02 ) (  1.054692062628e-04 ,  1.636648012407e+01 )
   11    8     ( -2.429728310950e-05 , -1.727016217927e+01 ) (  1.636758902421e+01 , -1.064671963374e-04 ) (  5.069079999593e-02 ,  2.581655683255e-01 )
   11    9     ( -6.117951332876e+01 , -8.599773120349e-03 ) ( -7.058654033176e-03 , -6.133458561359e+01 ) ( -2.874891550803e+01 , -9.915409941056e+00 )
   11   10     ( -2.864449437007e+01 ,  9.883256681197e+00 ) ( -9.915467825490e+00 , -2.883491545709e+01 ) (  6.137450491088e+01 , -6.812580317382e-03 )
   11   11     ( -2.371543338684e-01 ,  0.000000000000e+00 ) ( -3.956521468937e-04 ,  1.674323549172e-17 ) ( -1.526286656640e+02 ,  2.646977960170e-23 )
   11   12     (  1.526315175930e+02 , -3.068012285665e-07 ) ( -3.079570351087e-07 ,  1.526286885051e+02 ) ( -2.381122151553e-01 , -3.956525662836e-04 )
   12    1     ( -9.931746371779e+01 , -1.985756355379e-09 ) ( -1.021159804199e-08 ,  9.930471294909e+01 ) (  7.580204806168e-02 , -1.287136892737e-04 )
   12    2     ( -7.881531010344e-02 ,  1.287218205050e-04 ) ( -1.287177946034e-04 , -8.515980287751e-02 ) ( -9.930155297133e+01 ,  1.918678832305e-09 )
   12    3     ( -1.187877096841e-07 ,  3.820950756863e+00 ) (  4.223461424806e+00 , -1.016283834629e-07 ) ( -5.469415913713e-06 ,  8.836278688318e-02 )
   12    4     (  4.951370215066e-06 ,  9.462156732031e-02 ) (  7.512157486121e-02 ,  5.475224536469e-06 ) (  1.187851375869e-07 ,  4.218990160851e+00 )
   12    5     ( -5.933750436272e-07 , -9.304062195948e-01 ) ( -9.358720312496e-01 ,  5.964675862334e-07 ) (  1.615180905097e-06 ,  4.585613338574e-01 )
   12    6     (  1.205448207263e-06 , -4.568672470036e-01 ) (  4.592420115826e-01 ,  1.212561101177e-06 ) ( -5.933872339376e-07 ,  1.245793878374e+00 )
   12    7     (  2.429727049490e-05 , -1.727016217921e+01 ) ( -1.636758902411e+01 , -1.064671896855e-04 ) ( -5.069079998867e-02 ,  2.581655684389e-01 )
   12    8     ( -5.353263416487e-02 , -2.288498362676e-01 ) ( -1.897848929303e-01 ,  5.069133208361e-02 ) (  1.054691996080e-04 , -1.636648012413e+01 )
   12    9     (  2.864449437007e+01 ,  9.883256681158e+00 ) (  9.915467825451e+00 , -2.883491545710e+01 ) ( -6.137450491090e+01 , -6.812580228988e-03 )
   12   10     ( -6.117951332874e+01 ,  8.599773207609e-03 ) ( -7.058653945148e-03 ,  6.133458561358e+01 ) ( -2.874891550803e+01 ,  9.915409941096e+00 )
   12   11     (  1.526315175930e+02 ,  3.068012285665e-07 ) ( -3.079570351087e-07 , -1.526286885051e+02 ) ( -2.381122151553e-01 ,  3.956525662836e-04 )
   12   12     (  2.371543338656e-01 , -2.710505431214e-20 ) (  3.956521432260e-04 ,  1.771597719708e-17 ) (  1.526286656640e+02 ,  0.000000000000e+00 )
# SD contribution '1/2 * P * OPERATOR ('+ 1/2 * FC' for diagonal terms)'
    1    1     (  3.940932617444e+01 , -4.135903062765e-25 ) (  1.568450315818e-09 ,  3.330669073875e-16 ) (  5.154921379975e+00 , -1.654361225106e-24 )
    1    2     (  1.807212172149e+01 ,  4.705833553381e-09 ) ( -2.952889951346e-10 , -1.281915873959e+01 ) ( -3.984989061296e+01 ,  6.993162724479e-10 )
    1    3     (  2.619297907585e-10 , -1.374581458984e+01 ) ( -1.138733964601e+01 , -1.165684257903e-10 ) (  9.370306540685e-11 , -2.410499641042e+00 )
    1    4     (  7.707264041474e-10 ,  8.644618432102e-01 ) (  7.345990564892e-01 ,  7.431855628344e-10 ) (  1.952779927804e-10 ,  3.457209719045e-02 )
    1    5     (  1.455048138994e-09 ,  7.236028286237e-01 ) ( -2.009711821266e+01 ,  9.834653849459e-10 ) ( -1.405668706323e-09 ,  1.470120244314e-01 )
    1    6     (  2.004979910100e-10 , -1.826306211872e+01 ) ( -1.827330185367e+01 , -1.536517092394e-09 ) ( -1.080893384414e-10 ,  2.052900247924e+01 )
    1    7     ( -8.589461237157e-03 , -1.659452408359e+01 ) ( -1.446131226117e+01 ,  3.150815442300e-02 ) (  6.853605921999e-03 ,  7.358192811591e+00 )
    1    8     ( -5.153482930882e-02 , -3.000055099235e+00 ) ( -1.036906513340e+01 ,  4.523918894311e-02 ) (  2.289282119675e-02 ,  2.313176192345e+00 )
    1    9     ( -8.056383725688e+00 ,  8.030911142388e-01 ) ( -5.566708060744e-01 ,  6.727201640783e+00 ) (  1.050179723892e+01 ,  8.521383166961e-01 )
    1   10     ( -9.844147642569e+00 ,  1.678847589381e+00 ) (  8.259562995101e-01 , -1.046237749771e+00 ) ( -1.505846029049e+00 , -1.297315706353e+00 )
    1   11     (  1.549492775057e+01 ,  2.217411129020e-05 ) (  1.632338974788e-05 , -3.723505327621e-01 ) (  4.533413184838e+00 , -2.040841266474e-05 )
    1   12     (  1.712087838843e+01 ,  2.010176313330e-05 ) (  4.954271475556e-07 , -1.259359614284e+01 ) ( -1.574293124684e+01 ,  5.860205504312e-06 )
    2    1     (  1.807212172149e+01 , -4.705833553381e-09 ) ( -2.952889951346e-10 ,  1.281915873959e+01 ) ( -3.984989061296e+01 , -6.993162724479e-10 )
    2    2     ( -3.940932617444e+01 ,  2.067951531383e-25 ) ( -1.567128418602e-09 ,  3.608224830032e-16 ) ( -5.154921379975e+00 ,  0.000000000000e+00 )
    2    3     ( -7.707340207202e-10 ,  8.644618432116e-01 ) ( -7.345990564894e-01 ,  7.439237662823e-10 ) ( -1.964801615663e-10 ,  3.457209718823e-02 )
    2    4     (  2.618937402357e-10 ,  1.374581458984e+01 ) ( -1.138733964601e+01 ,  1.170332166228e-10 ) (  9.311170715501e-11 ,  2.410499641041e+00 )
    2    5     (  2.025822902164e-10 ,  1.826306211872e+01 ) ( -1.827330185366e+01 ,  1.538270701763e-09 ) ( -1.126639066236e-10 , -2.052900247924e+01 )
    2    6     ( -1.455941948573e-09 ,  7.236028286265e-01 ) (  2.009711821266e+01 ,  9.822604153613e-10 ) (  1.407854361117e-09 ,  1.470120244305e-01 )
    2    7     (  5.153482930769e-02 , -3.000055099231e+00 ) (  1.036906513338e+01 ,  4.523918894442e-02 ) ( -2.289282119804e-02 ,  2.313176192324e+00 )
    2    8     ( -8.589461239280e-03 ,  1.659452408362e+01 ) ( -1.446131226118e+01 , -3.150815442343e-02 ) (  6.853605924521e-03 , -7.358192811600e+00 )
    2    9     (  9.844147642540e+00 ,  1.678847589369e+00 ) ( -8.259562995093e-01 , -1.046237749807e+00 ) (  1.505846029067e+00 , -1.297315706351e+00 )
    2   10     ( -8.056383725677e+00 , -8.030911142297e-01 ) ( -5.566708060856e-01 , -6.727201640789e+00 ) (  1.050179723891e+01 , -8.521383167081e-01 )
    2   11     (  1.712087838843e+01 , -2.010177054397e-05 ) (  4.954318008332e-07 ,  1.259359614284e+01 ) ( -1.574293124684e+01 , -5.860199783845e-06 )
    2   12     ( -1.549492775057e+01 ,  2.217411663469e-05 ) ( -1.632338908269e-05 , -3.723505327644e-01 ) ( -4.533413184836e+00 , -2.040840992302e-05 )
    3    1     (  2.619297907585e-10 ,  1.374581458984e+01 ) ( -1.138733964601e+01 ,  1.165684257903e-10 ) (  9.370306540685e-11 ,  2.410499641042e+00 )
    3    2     ( -7.707340207202e-10 , -8.644618432116e-01 ) ( -7.345990564894e-01 , -7.439237662823e-10 ) ( -1.964801615663e-10 , -3.457209718823e-02 )
    3    3     ( -2.481513054640e+01 ,  6.462348535571e-27 ) (  5.900736957797e-11 , -7.216449660064e-16 ) ( -5.294394914757e+00 ,  1.615587133893e-27 )
    3    4     (  3.499102768255e+01 , -1.944162654308e-10 ) (  1.892342763490e-10 ,  2.969985146339e+01 ) ( -2.570806229468e+01 , -3.076736280146e-11 )
    3    5     (  1.748802633564e+01 , -1.936225401296e-10 ) (  1.745527467743e-10 , -6.160634542667e-01 ) ( -5.279677877365e+00 ,  8.070257126112e-12 )
    3    6     ( -3.689943336799e+00 ,  1.816172386530e-10 ) ( -1.581476688757e-10 , -7.192415056710e-01 ) ( -1.814056440158e+01 , -6.265237548970e-11 )
    3    7     (  2.152901962257e+00 , -6.096755713762e-03 ) ( -2.902172944373e-03 , -1.590109896521e+00 ) ( -2.720929779317e+00 , -7.502728131317e-03 )
    3    8     (  1.997549240013e+00 , -6.754165985079e-03 ) ( -4.966621736754e-03 , -9.586163193233e-01 ) (  2.384630088678e+00 ,  8.327852339470e-03 )
    3    9     (  6.174443950324e-01 , -1.735264084192e+00 ) (  3.337731719269e+00 ,  5.442816722893e-01 ) ( -4.230711319500e-01 ,  2.134663204471e+00 )
    3   10     (  9.307121097261e-03 ,  3.847618366760e+00 ) ( -2.543240578055e+00 , -2.839993348120e-01 ) (  1.464513152400e-01 , -2.192613605432e+00 )
    3   11     ( -9.415708358823e-07 ,  8.605437357455e+00 ) ( -8.076544928838e+00 ,  6.241597036054e-06 ) (  7.960534435968e-07 , -4.259158396873e+00 )
    3   12     ( -1.115463282022e-05 ,  7.332303041522e-01 ) (  4.809206362649e+00 , -1.046336197398e-05 ) (  5.521033415459e-06 , -6.176127790989e-01 )
    4    1     (  7.707264041474e-10 , -8.644618432102e-01 ) (  7.345990564892e-01 , -7.431855628344e-10 ) (  1.952779927804e-10 , -3.457209719045e-02 )
    4    2     (  2.618937402357e-10 , -1.374581458984e+01 ) ( -1.138733964601e+01 , -1.170332166228e-10 ) (  9.311170715501e-11 , -2.410499641041e+00 )
    4    3     (  3.499102768255e+01 ,  1.944162654308e-10 ) (  1.892342763490e-10 , -2.969985146339e+01 ) ( -2.570806229468e+01 ,  3.076736280146e-11 )
    4    4     (  2.481513054640e+01 ,  6.462348535571e-27 ) ( -5.917449653118e-11 , -7.771561172376e-16 ) (  5.294394914756e+00 ,  1.615587133893e-27 )
    4    5     (  3.689943336798e+00 ,  1.812665028820e-10 ) (  1.582547924972e-10 , -7.192415056696e-01 ) (  1.814056440157e+01 , -6.240956947251e-11 )
    4    6     (  1.748802633564e+01 ,  1.943661523986e-10 ) (  1.749602523482e-10 ,  6.160634542664e-01 ) ( -5.279677877364e+00 , -7.693651587145e-12 )
    4    7     (  1.997549240006e+00 ,  6.754165985188e-03 ) ( -4.966621735531e-03 ,  9.586163193322e-01 ) (  2.384630088681e+00 , -8.327852340701e-03 )
    4    8     ( -2.152901962253e+00 , -6.096755710676e-03 ) (  2.902172945425e-03 , -1.590109896525e+00 ) (  2.720929779316e+00 , -7.502728132046e-03 )
    4    9     (  9.307121101255e-03 , -3.847618366769e+00 ) ( -2.543240578053e+00 ,  2.839993348095e-01 ) (  1.464513152368e-01 ,  2.192613605438e+00 )
    4   10     ( -6.174443950305e-01 , -1.735264084192e+00 ) ( -3.337731719266e+00 ,  5.442816722827e-01 ) (  4.230711319516e-01 ,  2.134663204462e+00 )
    4   11     (  1.115463333681e-05 ,  7.332303041523e-01 ) ( -4.809206362649e+00 , -1.046336262847e-05 ) ( -5.521033669575e-06 , -6.176127790999e-01 )
    4   12     ( -9.415685684438e-07 , -8.605437357456e+00 ) ( -8.076544928838e+00 , -6.241599532286e-06 ) (  7.960519188356e-07 ,  4.259158396873e+00 )
    5    1     (  1.455048138994e-09 , -7.236028286237e-01 ) ( -2.009711821266e+01 , -9.834653849459e-10 ) ( -1.405668706323e-09 , -1.470120244314e-01 )
    5    2     (  2.025822902164e-10 , -1.826306211872e+01 ) ( -1.827330185366e+01 , -1.538270701763e-09 ) ( -1.126639066236e-10 ,  2.052900247924e+01 )
    5    3     (  1.748802633564e+01 ,  1.936225401296e-10 ) (  1.745527467743e-10 ,  6.160634542667e-01 ) ( -5.279677877365e+00 , -8.070257126112e-12 )
    5    4     (  3.689943336798e+00 , -1.812665028820e-10 ) (  1.582547924972e-10 ,  7.192415056696e-01 ) (  1.814056440157e+01 ,  6.240956947251e-11 )
    5    5     (  4.872511243065e+01 ,  0.000000000000e+00 ) (  6.708992995695e-10 ,  3.608224830032e-16 ) ( -2.357517553471e+01 , -1.033975765691e-25 )
    5    6     (  8.783962514190e+00 ,  9.922286026426e-10 ) (  3.272880041062e-11 , -3.237295359667e+01 ) ( -4.828757657222e+01 , -4.996378916297e-10 )
    5    7     ( -1.054445204639e+00 , -9.534192822858e-03 ) (  5.530554699289e-04 , -1.160461422382e+00 ) ( -3.035202702217e+00 ,  6.764355452970e-03 )
    5    8     (  3.063225085226e+00 ,  3.136516880472e-03 ) ( -3.588044337649e-03 ,  1.626298146880e-01 ) ( -2.225140396164e+00 ,  9.497068941977e-03 )
    5    9     ( -2.560252400886e-02 ,  1.322864507160e+00 ) ( -9.352602368128e-02 , -1.818686387234e-01 ) ( -1.059893424193e-01 , -9.462049902444e-01 )
